Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND20398,Melissa Miller,65.0,16593.0,29-09-2008,Jason Duncan,Australian,Biostatistician III,High,Jade,32301.47,5597.4,,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1.0,1.0,3.0,1.0,19.0
IND54314,Kevin Gomez,32.0,24168.0,01-01-2007,Jerry Green,European,Project Manager,Mid,Jade,293419.07,16443.25,1.0,4496.63,2183384.72,1490773.71,634781.07,281227.25,399.2,1633759.29,2.0,4.0,3.0,2.0,20.0
IND74305,Ronald Larson,29.0,25730.0,11-12-1999,Bobby Burton,Australian,share,High,Gold,55011.84,14206.2,1.0,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3.0,1.0,4.0,1.0,21.0
IND37195,Christine Williams,31.0,10528.0,16-04-2015,Joshua Bennett,European,Engineer III,High,Jade,77971.46,7820.4,1.0,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0.0,1.0,4.0,2.0,22.0
IND52609,Angela Roberts,22.0,30762.0,LOW,Nicholas Cunningham,European,Health Coach I,High,Jade,84111.51,18940.38,1.0,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3.0,1.0,1.0,1.0,1.0
IND26283,Joshua Hughes,58.0,95.0,21-04-2006,Shawn Cook,European,Human Resources Assistant I,High,Jade,98369.29,3050.25,1.0,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3.0,2.0,2.0,2.0,2.0
IND61913,Joshua Stephens,75.0,10119.0,30-08-2012,Samuel Fowler,American,Software Test Engineer II,High,Silver,243490.73,63872.76,1.0,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1.0,3.0,3.0,1.0,3.0
IND35876,Evelyn Ramirez,18.0,28105.0,27-09-2006,Frank Brown,American,Web Designer II,Mid,Jade,72431.34,34975.16,1.0,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0.0,2.0,4.0,1.0,4.0
IND19011,Lillian Burns,47.0,33271.0,07-11-2003,Paul Larson,European,Sales Associate,Mid,Silver,456003.99,25171.2,2.0,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,,4.0,1.0,2.0,8.0
IND86703,Lillian Bell,41.0,11172.0,02-16-2018 00:00:00 ,Stephen Payne,European,Biostatistician I,High,Platinum,71422.04,32993.52,1.0,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2.0,2.0,1.0,2.0,9.0
IND23640,,36.0,18659.0,02-04-2018,Benjamin Kim,European,Accounting Assistant III,Low,Jade,39077.38,14707.68,2.0,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0.0,2.0,1.0,2.0,10.0
IND93407,Karen Morrison,84.0,18123.0,16-04-2010,Carl Nguyen,European,Dental Hygienist,High,Jade,274099.12,26051.76,2.0,2461.94,563101.95,0.0,0.0,0.0,4870.24,520918.49,3.0,2.0,2.0,2.0,11.0
IND40136,John Cruz,26.0,27140.0,25-09-2019,Victor Martinez,European,Developer IV,Mid,Silver,260826.75,53468.1,3.0,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0.0,3.0,2.0,,12.0
IND76215,Joseph Thomas,74.0,18521.0,07-01-1999,Jeremy Vasquez,American,Engineer IV,Low,Platinum,334331.81,18591.75,2.0,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1.0,3.0,3.0,2.0,13.0
IND93216,Anthony Green,47.0,40585.0,11-02-2012,Dennis Ruiz,Asian,Software Consultant,High,Jade,61398.26,20668.94,1.0,550.75,360003.87,,305000.74,109324.94,2850.73,118884.97,2.0,1.0,3.0,1.0,14.0
IND54572,Terry Hanson,82.0,4749.0,11-04-2007,Phillip Peters,European,Software Test Engineer II,High,Gold,63246.3,18575.7,1.0,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0.0,1.0,,2.0,15.0
IND18649,Norma Perez,25.0,7639.0,24-03-2019,George Lewis,European,Accountant II,Mid,Platinum,158091.86,,3.0,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0.0,2.0,3.0,1.0,1.0
IND51790,Ann Bradley,44.0,6517.0,10-09-2016,Dennis Morris,European,Software Engineer II,Mid,Jade,131729.85,6664.06,2.0,6215.34,,359436.79,161746.56,166059.8,41209.82,506592.1,2.0,2.0,3.0,1.0,2.0
IND17740,Daniel Morrison,38.0,38743.0,18-06-2011,Frank Brown,Asian,Health Coach IV,High,Gold,116926.94,18431.28,2.0,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1.0,2.0,3.0,2.0,3.0
IND49489,Keith Weaver,74.0,4567.0,09-08-1995,Nicholas Cunningham,American,Associate Professor,High,Gold,148224.72,27518.0,2.0,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3.0,1.0,3.0,1.0,4.0
IND50658,Patrick Richardson,35.0,36151.0,24-08-2021,Roger Alexander,Asian,Computer Systems Analyst I,Mid, impression,348248.56,65026.0,1.0,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0.0,3.0,4.0,2.0,5.0
IND14798,Beverly Griffin,74.0,21413.0,24-09-2014,Shawn Wallace,American,Health Coach I,CLICK ,Silver,19637.78,9527.23,2.0,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0.0,1.0,4.0,1.0,6.0
IND60926,Virginia Greene,62.0,7197.0,13-12-1995,Phillip Peters,American,Electrical Engineer,Mid,share,150304.49,7326.44,1.0,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1.0,2.0,1.0,1.0,7.0
IND57710,Antonio Ruiz,23.0,27256.0,05-11-2003,Ernest Rivera,European,Statistician I,Low,Jade,52109.13,14277.05,1.0,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1.0,1.0,2.0,1.0,8.0
IND71795,John Chapman,68.0,21290.0,23-08-2007,Keith Griffin,European,Programmer Analyst III,Mid,Platinum,156091.75,20609.04,3.0,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2.0,1.0,3.0,1.0,9.0
IND98220,Ruth Bishop,79.0,3957.0,24-01-2020,Joe Price,American,Human Resources Assistant II,High,Jade,338383.13,57267.05,1.0,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1.0,4.0,4.0,1.0,10.0
IND91662,Alice Chavez,29.0,39668.0,21-02-2019,Jerry Green,European,Assistant Professor,High,Silver,198553.59,20851.74,1.0,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3.0,4.0,1.0,2.0,11.0
IND18901,,52.0,374.0,05-11-2002,Stephen Payne,European,Accounting Assistant III,Mid,Silver,190119.93,47110.05,1.0,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1.0,2.0,1.0,1.0,12.0
IND49888,Louis Banks,68.0,31302.0,26-01-2003,Paul Larson,American,Administrative Assistant I,Mid,Jade,147956.79,52216.52,1.0,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3.0,2.0,1.0,2.0,13.0
IND76081,Bobby Gordon,41.0,23190.0,02-01-2010,Nicholas Cunningham,Australian,Geologist IV,Mid,Gold,91071.75,33111.54,1.0,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0.0,2.0,2.0,1.0,14.0
IND93705,Randy Gardner,70.0,18488.0,28-10-2020,Paul Holmes,American,Help Desk Operator,Mid,Gold,96545.37,23191.74,1.0,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3.0,2.0,,1.0,15.0
IND52847,Eric Burke,32.0,8566.0,19-06-2015,Samuel Fowler,Asian,Assistant Media Planner,High,Jade,63765.0,11354.0,1.0,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3.0,2.0,3.0,2.0,16.0
IND24592,Martin Shaw,47.0,10123.0,18-09-2007,Carl Nguyen,American,Technical Writer,Mid,Jade,191715.4,31923.72,1.0,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0.0,2.0,3.0,1.0,17.0
IND31656,Phillip Hansen,83.0,633.0,,Dennis Ruiz,Asian,Human Resources Assistant I,Mid,Silver,218312.27,21480.88,2.0,5886.56,1757312.99,1099352.83,389770.55,402363.14,30773.91,735797.5,1.0,5.0,3.0,1.0,18.0
IND85060,Randy Wheeler,24.0,8325.0,15-02-2006,Roger Alexander,European,Software Consultant,High,Platinum,157167.47,31498.25,1.0,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3.0,1.0,3.0,1.0,19.0
IND89139,Matthew Brown,84.0,23184.0,09-07-2014,Joshua Ryan,European,Administrative Assistant IV,Low,Gold,101929.59,13019.3,1.0,1163.81,614181.3,445914.24,137911.62,373280.79,12590.02,516128.95,3.0,1.0,3.0,2.0,20.0
IND81423,Dennis Hanson,29.0,24727.0,01-03-2009,Benjamin Kim,American,Recruiter,High,Jade,40985.49,19729.5,3.0,646.13,358194.38,186144.38,114664.94,37333.12,13412.63,,1.0,1.0,3.0,1.0,21.0
IND85541,Alan Bennett,,9136.0,12-09-2018,Dennis Morris,African,Staff Scientist,High,Jade,109218.7,6820.8,1.0,2767.3,587928.77,198995.43,128873.23,68530.24,13413.79,566786.3,2.0,1.0,3.0,1.0,22.0
IND59219,Helen Jenkins,51.0,10186.0,30-10-2014,Stephen Payne,European,Web Developer III,High,Jade,174258.52,34182.52,1.0,5185.78,648432.67,1125389.67,830895.18,198783.78,36318.33,452950.77,3.0,3.0,4.0,1.0,1.0
IND43444,Katherine Myers,59.0,33070.0,14-11-2018,Shawn Cook,European,Senior Developer,High,Jade,74059.23,14702.6,2.0,1361.56,374815.99,384271.05,216865.84,124336.41,8446.4,962931.99,2.0,1.0,4.0,2.0,2.0
IND85299,Scott Hughes,84.0,2874.0,,Shawn Cook,American,Health Coach IV,High, n/a,158874.14,38794.28,1.0,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0.0,2.0,1.0,,3.0
IND58136,Barbara Larson,69.0,18759.0,10-01-2020,Nicholas Simmons,American,Office Assistant II,Mid,Jade,71958.9,13998.9,1.0,2756.83,124510.61,199185.62,120782.77,81093.97,15957.53,639874.92,1.0,1.0,2.0,2.0,4.0
IND35725,Tammy Willis,17.0,,02-11-2012,Jerry Green,European,Operator,High,Jade,189074.19,13258.42,1.0,4138.78,291504.55,247346.43,81405.16,162184.12,11482.62,358381.36,3.0,3.0,3.0,2.0,8.0
IND15648,Aaron Williams,78.0,12708.0,06-01-2005,Chris Armstrong,Australian,Software Engineer III,,Platinum,74408.69,28689.62,2.0,494.76,24949.1,188138.63,218375.19,61145.05,12141.52,326434.35,2.0,1.0,4.0,2.0,9.0
IND48116,Lawrence Gibson,25.0,2134.0,06-06-2019,Jonathan Hawkins,African,Dental Hygienist,High,Jade,,42888.81,1.0,3074.93,841124.62,611852.17,222491.7,457697.21,33497.73,347546.25,3.0,5.0,1.0,2.0,10.0
IND28531,Ronald Burns,61.0,449.0,20-08-2001,Joshua Little,Australian,Web Designer I,Mid,Gold,309939.21,51303.6,2.0,10999.17,1198037.84,1457194.61,691706.3,145258.32,,3619311.37,3.0,4.0,1.0,2.0,11.0
IND45135,Benjamin Boyd,61.0,27123.0,22-02-2011,Shawn Cook,American,Editor,Low,Silver,151227.36,25749.75,1.0,397.4,455965.07,212193.82,276609.8,79800.03,13699.11,796820.24,2.0,2.0,1.0,1.0,12.0
IND72586,Craig Wagner,48.0,31328.0,08-11-2016,Raymond Alexander,Asian,Analog Circuit Design manager,High,Jade,401412.67,48428.15,2.0,3172.65,1511484.73,827446.85,498247.56,399309.83,51370.22,155806.11,3.0,5.0,2.0,1.0,13.0
IND80929,Mary Austin,35.0,12694.0,20-10-2021,Joshua Ryan,European,VP Marketing,High,Silver,263452.26,17416.8,1.0,,0.0,687595.13,297957.89,507980.0,16429.39,980875.66,2.0,2.0,2.0,1.0,14.0
IND40714,Steven Wilson,21.0,40567.0,10-05-2004,James Castillo,European,Senior Editor,Low,,404760.25,41342.34,2.0,4733.35,1022752.85,425498.09,212749.04,145323.96,64179.71,477400.93,0.0,3.0,3.0,1.0,15.0
IND48405,Joe Lawrence,23.0,5800.0,19-12-2004,Dennis Morris,European,Civil Engineer,High,Gold,122608.89,31945.22,1.0,226.91,248995.76,167320.36,182304.28,54616.36,24666.31,166961.63,,2.0,3.0,2.0,1.0
IND52634,Willie Price,24.0,25890.0,10-12-2008,Douglas Tucker,European,Media Manager I,Mid,Jade,72688.95,5604.02,1.0,2577.26,44247.13,47024.48,16596.87,24784.67,24564.97,362233.8,1.0,1.0,3.0,2.0,2.0
IND18163,Kevin Perez,50.0,31222.0,18-05-2020,Frank Brown,,Nurse,Mid,Gold,96295.61,23986.83,1.0,1323.88,311472.63,193153.03,136197.65,60174.6,21291.85,396610.18,2.0,2.0,3.0,2.0,3.0
IND94008,Ruth Cook,20.0,32556.0,14-12-1996,Roger Alexander,American,Accountant III,Mid,Jade,127182.69,10617.09,3.0,3142.39,92065.37,781027.69,183771.22,567065.49,24086.65,613018.84,2.0,1.0,3.0,2.0,4.0
IND53034,Bruce Vasquez,49.0,28065.0,19-05-1996,Bruce Porter,European,Senior Quality Engineer,High,Gold,86309.17,19088.42,1.0,954.95,184129.95,136811.36,39799.67,71888.15,11832.68,506381.3,2.0,1.0,3.0,1.0,5.0
IND91806,Joe Lawrence,42.0,18610.0,04-04-2021,Steve Diaz,American,Engineer IV,Mid,Gold,39039.16,35780.3,1.0,1286.88,429795.64,217684.78,110466.9,253034.18,13282.16,83301.84,2.0,2.0,3.0,2.0,6.0
IND25702,Christopher Cox,76.0,15463.0,06-12-2015,Patrick Graham,,unknown,fri ,Silver,302021.94,5907.2,3.0,825.52,1259346.41,462110.27,75017.9,137282.76,23172.43,2366879.7,1.0,2.0,4.0,1.0,7.0
IND67912,Russell Lawson,66.0,29994.0,21-08-2003,Anthony Torres,European,Internal Auditor,Mid,Silver,274381.44,26955.98,1.0,4251.72,665570.32,1124343.31,488444.23,424485.68,47412.87,1827431.05,2.0,2.0,4.0,2.0,8.0
IND76171,Jacqueline Williamson,42.0,22631.0,17-06-1996,Adam Hernandez,European,Software Test Engineer III,Mid,Silver,122710.9,20009.16,1.0,4783.55,763332.61,129332.34,48804.66,76867.33,14130.27,334266.15,2.0,2.0,1.0,2.0,9.0
